Italian,English
come ,as
io ,I
ci ,There
hai ,you have
questo ,This
bene ,Well
qui ,here
sei ,six
del ,of the
tu ,you
solo ,Alone
mio ,my
al ,to the
me ,myself
tutto ,All
c' ,there
te ,you
era ,era
della ,from the
mia ,my
fatto ,Done
fare ,Do
essere ,to be
so ,I know
quando ,when
sì ,Yes
ora ,Now
lei ,she
gli ,The
ne ,neither
oh ,Oh
questa ,this
detto ,said
ok ,ok
va ,it goes
perche ,Why
quello ,that
mai ,never
alla ,at the
o ,or
anche ,Also
stato ,state
abbiamo ,we have
tutti ,everyone
dei ,of the
grazie ,Thank you
chi ,who
sta ,is
molto ,Very
più ,more
voglio ,I want
perché ,Why
tuo ,your
beh ,Well
sia ,is
nel ,In the
lui ,he
allora ,At that time
posso ,I can
piu ,more
ehi ,Hey
prima ,Before
tua ,your
suo ,his
niente ,Nothing
qualcosa ,something
sai ,you know
siamo ,we are
un' ,a
cosi ,Like this
davvero ,Really
ancora ,Still
hanno ,they have
stai ,you are
fa ,does
sua ,her
così ,Like this
casa ,home
uno ,one
dove ,Where
su ,on
vero ,True
vuoi ,you want
noi ,we
due ,two
quindi ,Therefore
dire ,to say
d' ,d '
delle ,from the
quella ,that
sempre ,Always
altro ,other
sto ,this
andare ,go
ad ,to
po ,bit
loro ,They
devo ,I have to
quel ,that
forse ,Perhaps
li ,there
come ,as
io ,I
ci ,There
hai ,you have
questo ,This
bene ,Well
qui ,here
sei ,six
