Slovenian,English
je ,is
ne ,no
da ,Yes
se ,may
v ,into
sem ,am
to ,this
in ,and
si ,you
kaj ,what
na ,over
bi ,would
za ,after
ti ,you
pa ,he
ni ,has not
mi ,me
z ,by
bo ,will be
lahko ,can
so ,are
ga ,him
če ,if
bom ,shall
me ,me
še ,yet
te ,you
kot ,as
ja ,Yeah
s ,by
tako ,so
jaz ,I
kako ,how
ki ,who
vse ,anything
ko ,when
ali ,but
samo ,only
bil ,was a
že ,already
vem ,I know
jo ,jo
od ,since
zakaj ,why
kar ,which
ste ,you
boš ,will
nisem ,I have not
dobro ,well
nekaj ,something
tudi ,also
redu ,okay
prav ,fixation
jih ,them
smo ,we
tukaj ,there
res ,really
po ,per
bilo ,were
zdaj ,now
bila ,were
tega ,this
hvala ,praise
ampak ,but
iz ,from
ker ,because
kdo ,who
naj ,whether
več ,more
ta ,that
tem ,topics
imam ,I have
tu ,there
kje ,where
veš ,know
mislim ,I am thinking
do ,by
bomo ,shall
moj ,mine
mu ,him
nič ,nothing
vas ,village
sva ,We
saj ,because
zelo ,very
a ,a
potem ,then
prosim ,please
pri ,by
vam ,you
rekel ,say
sta ,were
no ,NO
ima ,has
imaš ,have
tam ,there
zato ,therefore
moram ,must
daj ,ome
nikoli ,never
bodo ,will
toda ,but
le ,only
mogoče ,may be
pred ,before
veliko ,large
vsi ,everybody
